"city","distance_mi","duration_min"
"Salisbury",37.2,39
"Sandisfield",130.0,142
"Sandwich",70.1,75
"Saugus",12.1,20
"Savoy",130.0,144
"Scituate",41.7,54
"Seekonk",68.1,71
"Sharon",38.4,42
"Sheffield",149.0,152
"Shelburne",102.0,107
"Sherborn",31.4,42
"Shirley",40.2,42
"Shrewsbury",53.1,53
"Shutesbury",85.4,88
"Somerset",60.7,71
"Somerville",10.9,19
"South Hadley",96.5,100
"Southampton",108.0,106
"Southborough",34.4,39
"Southbridge",69.0,73
"Southwick",108.0,111
"Spencer",62.3,72
"Springfield",97.3,96
"Sterling",49.6,51
"Stockbridge",137.0,131
"Stoneham",4.6,10
"Stoughton",33.5,44
"Stow",26.7,38
"Sturbridge",65.4,65
"Sudbury",24.5,33
"Sunderland",96.3,103
"Sutton",54.4,57
"Swampscott",16.3,30
"Swansea",65.3,71
"Taunton",50.6,58
"Templeton",62.0,62
"Tewksbury",11.7,17
"Tisbury",96.1,152
"Tolland",121.0,129
"Topsfield",19.8,24
"Townsend",43.6,54
"Truro",119.0,127
"Tyngsborough",26.3,29
"Tyringham",136.0,129
"Upton",43.8,48
"Uxbridge",51.9,64
"Wakefield",5.7,11
"Wales",75.3,79
"Walpole",34.6,45
"Waltham",16.8,23
"Ware",88.0,92
"Wareham",66.9,70
"Warren",74.9,81
"Warwick",84.3,88
"Washington",134.0,145
"Watertown",19.5,30
"Wayland",21.2,28
"Webster",62.8,64
"Wellesley",21.0,26
"Wellfleet",114.0,121
"Wendell",84.3,86
"Wenham",19.7,26
"West Boylston",55.6,57
"West Bridgewater",42.3,49
"West Brookfield",75.9,82
"West Newbury",30.3,35
"West Springfield",97.5,96
"West Stockbridge",139.0,130
"West Tisbury",102.0,161
"Westborough",39.6,48
"Westfield",103.0,100
"Westford",26.3,28
"Westhampton",114.0,118
"Westminster",53.4,54
"Weston",18.0,22
"Westport",65.7,68
"Westwood",29.0,34
"Weymouth",30.4,39
"Whately",101.0,110
"Whitman",36.4,52
"Wilbraham",87.2,90
"Williamsburg",118.0,118
"Williamstown",137.0,159
"Wilmington",3.5,10
"Winchendon",66.6,70
"Winchester",6.1,14
"Windsor",139.0,145
"Winthrop",18.4,30
"Woburn",3.9,13
"Worcester",58.0,58
"Worthington",125.0,131
"Wrentham",45.3,51
"Yarmouth",89.2,94
